pc_time_s,seq_id,module_id,status,tx_drops,Raw RH,Raw LH,Env RH,Env LH,Tau RH,Tau LH
7.260983,64902,0xF0,0x00,0,1.57900012,1.57100010,0.06955629,0.07913615,0.12641910,0.15085752
7.260983,64904,0xF0,0x00,0,1.58000004,1.56700003,0.06957518,0.07919691,0.12646730,0.15101252
7.260983,64906,0xF0,0x00,0,1.57900012,1.57200003,0.06960189,0.07922392,0.12653542,0.15108141
7.260983,64908,0xF0,0x00,0,1.57800007,1.56700003,0.06964355,0.07927981,0.12664171,0.15122400
7.260983,64910,0xF0,0x00,0,1.58400011,1.57300007,0.06963331,0.07929265,0.12661558,0.15125675
7.260983,64912,0xF0,0x00,0,1.57800007,1.56800008,0.06965081,0.07932851,0.12666021,0.15134825
7.260983,64914,0xF0,0x00,0,1.58000004,1.57300007,0.06966566,0.07932793,0.12669811,0.15134676
7.260983,64916,0xF0,0x00,0,1.58500004,1.57300007,0.06962770,0.07930384,0.12660128,0.15128529
7.260983,64918,0xF0,0x00,0,1.57900012,1.57500005,0.06961719,0.07924443,0.12657446,0.15113376
7.260983,64920,0xF0,0x00,0,1.58000004,1.57500005,0.06961431,0.07916287,0.12656711,0.15092568
7.270986,64922,0xF0,0x00,0,1.58100009,1.57000005,0.06960618,0.07911877,0.12654638,0.15081318
7.270986,64924,0xF0,0x00,0,1.58100009,1.57200003,0.06959477,0.07907891,0.12651728,0.15071151
7.270986,64926,0xF0,0x00,0,1.57700002,1.57000005,0.06962210,0.07906258,0.12658699,0.15066984
7.270986,64928,0xF0,0x00,0,1.58200002,1.57200003,0.06962320,0.07904121,0.12658980,0.15061533
7.270986,64930,0xF0,0x00,0,1.58300006,1.57000005,0.06959718,0.07903720,0.12652344,0.15060510
7.270986,64932,0xF0,0x00,0,1.58000004,1.57700002,0.06958450,0.07897309,0.12649107,0.15044156
7.270986,64934,0xF0,0x00,0,1.58000004,1.56200004,0.06958055,0.07902370,0.12648101,0.15057068
7.270986,64936,0xF0,0x00,0,1.58000004,1.57000005,0.06958228,0.07906631,0.12648539,0.15067935
7.270986,64938,0xF0,0x00,0,1.58400011,1.57000005,0.06954689,0.07910331,0.12639511,0.15077373
7.270986,64940,0xF0,0x00,0,1.58600008,1.57500005,0.06946754,0.07908537,0.12619269,0.15072799
7.280938,64942,0xF0,0x00,0,1.58300006,1.57200003,0.06939120,0.07906274,0.12599795,0.15067025
7.280938,64944,0xF0,0x00,0,1.58100009,1.56400013,0.06933796,0.07911882,0.12586214,0.15081331
7.280938,64946,0xF0,0x00,0,1.58100009,1.57000005,0.06930016,0.07916398,0.12576571,0.15092851
7.280938,64948,0xF0,0x00,0,1.58000004,1.56300008,0.06928290,0.07927296,0.12572169,0.15120652
7.280938,64950,0xF0,0x00,0,1.58200002,1.57200003,0.06925870,0.07933030,0.12565994,0.15135281
7.280938,64952,0xF0,0x00,0,1.57900012,1.56700003,0.06926082,0.07940469,0.12566535,0.15154257
7.280938,64954,0xF0,0x00,0,1.58400011,1.57000005,0.06922896,0.07945875,0.12558410,0.15168048
7.280938,64956,0xF0,0x00,0,1.58300006,1.56900012,0.06918570,0.07950933,0.12547371,0.15180951
7.280938,64958,0xF0,0x00,0,1.57900012,1.56900012,0.06917626,0.07955716,0.12544966,0.15193152
7.280938,64960,0xF0,0x00,0,1.58200002,1.57300007,0.06915820,0.07956196,0.12540357,0.15194376
7.290917,64962,0xF0,0x00,0,1.58100009,1.56800008,0.06914493,0.07958990,0.12536971,0.15201503
7.290917,64964,0xF0,0x00,0,1.58100009,1.56700003,0.06913488,0.07964267,0.12534408,0.15214966
7.290917,64966,0xF0,0x00,0,1.58100009,1.57200003,0.06912703,0.07965998,0.12532406,0.15219381
7.290917,64968,0xF0,0x00,0,1.58300006,1.57100010,0.06910029,0.07966442,0.12525585,0.15220514
7.290917,64970,0xF0,0x00,0,1.57200003,1.57300007,0.06917372,0.07964014,0.12544316,0.15214321
7.290917,64972,0xF0,0x00,0,1.58000004,1.56900012,0.06922951,0.07963832,0.12558547,0.15213859
7.290917,64974,0xF0,0x00,0,1.58100009,1.57200003,0.06926317,0.07962046,0.12567134,0.15209301
7.290917,64976,0xF0,0x00,0,1.58000004,1.56900012,0.06929239,0.07962298,0.12574589,0.15209945
7.290917,64978,0xF0,0x00,0,1.58200002,1.56600010,0.06929807,0.07966921,0.12576039,0.15221739
7.290917,64980,0xF0,0x00,0,1.57500005,1.56600010,0.06935984,0.07974317,0.12591796,0.15240604
7.300911,64982,0xF0,0x00,0,1.57900012,1.57100010,0.06941640,0.07978331,0.12606224,0.15250845
7.300911,64984,0xF0,0x00,0,1.57900012,1.56700003,0.06946903,0.07984199,0.12619652,0.15265813
7.300911,64986,0xF0,0x00,0,1.57700002,1.57500005,0.06953897,0.07983050,0.12637492,0.15262884
7.300911,64988,0xF0,0x00,0,1.57200003,1.58000004,0.06967030,0.07972293,0.12670994,0.15235442
7.300911,64990,0xF0,0x00,0,1.58200002,1.57300007,0.06973802,0.07962579,0.12688269,0.15210660
7.300911,64992,0xF0,0x00,0,1.58000004,1.57200003,0.06978438,0.07954653,0.12700097,0.15190442
7.300911,64994,0xF0,0x00,0,1.57800007,1.56900012,0.06983687,0.07951021,0.12713487,0.15181176
7.300911,64996,0xF0,0x00,0,1.58300006,1.56600010,0.06984183,0.07953252,0.12714753,0.15186867
7.300911,64998,0xF0,0x00,0,1.58200002,1.57200003,0.06982627,0.07953130,0.12710783,0.15186554
7.300911,65000,0xF0,0x00,0,1.58400011,1.57100010,0.06977724,0.07952509,0.12698275,0.15184972
7.310856,65002,0xF0,0x00,0,1.58300006,1.56900012,0.06971730,0.07953612,0.12682986,0.15187785
7.310856,65004,0xF0,0x00,0,1.58300006,1.56900012,0.06965095,0.07955814,0.12666059,0.15193404
7.310856,65006,0xF0,0x00,0,1.58100009,1.56900012,0.06960150,0.07958704,0.12653443,0.15200776
7.310856,65008,0xF0,0x00,0,1.58700013,1.56900012,0.06950233,0.07962009,0.12628146,0.15209205
7.310856,65010,0xF0,0x00,0,1.58500004,1.56900012,0.06939247,0.07965546,0.12600121,0.15218230
7.310856,65012,0xF0,0x00,0,1.59000003,1.56600010,0.06922589,0.07972255,0.12557626,0.15235345
7.310856,65014,0xF0,0x00,0,1.58500004,1.56600010,0.06907535,0.07980942,0.12519222,0.15257505
7.310856,65016,0xF0,0x00,0,1.58300006,1.57100010,0.06895708,0.07985722,0.12489050,0.15269700
7.310856,65018,0xF0,0x00,0,1.58200002,1.57100010,0.06887101,0.07987933,0.12467094,0.15275338
7.310856,65020,0xF0,0x00,0,1.58000004,1.57200003,0.06882697,0.07987444,0.12455860,0.15274091
7.320846,65022,0xF0,0x00,0,1.58400011,1.57300007,0.06876976,0.07984200,0.12441266,0.15265816
7.320846,65024,0xF0,0x00,0,1.58300006,1.56700003,0.06871481,0.07985324,0.12427248,0.15268685
7.320846,65026,0xF0,0x00,0,1.58900011,1.56700003,0.06860075,0.07989256,0.12398151,0.15278715
7.320846,65028,0xF0,0x00,0,1.58300006,1.57200003,0.06851085,0.07989865,0.12375215,0.15280268
7.320846,65030,0xF0,0x00,0,1.58700013,1.57000005,0.06839669,0.07990360,0.12346093,0.15281531
7.320846,65032,0xF0,0x00,0,1.57700002,1.57200003,0.06836993,0.07988741,0.12339269,0.15277399
